PT_IDX,PT_NAME,PT_CATEGORY,PT_IMAGE,PT_CONTENT,PT_WRITER,PT_HIDDEN
2,컨벤셔널 데드리프트,하체,"https://burnfit.io/wp-content/uploads/2023/11/BB_DL.png,https://burnfit.io/wp-content/uploads/2023/11/BB_DL.gif","양발을 골반보다 약간 넓게 벌리고, 바벨의 그립을 어깨보다 조금 넓게하여 무릎과 팔이 겹치지 않도록 합니다. | 등이 굽지 않도록 상체를 곧게 유지하면서, 발바닥으로 지면을 밀어올린다는 느낌으로 바벨을 들어 올립니다. (이때, 복압을 단단하게 유지한채로 바벨을 몸에 붙여서 들어올립니다.) | 몸을 완전히 쭉 피고 엉덩이 근육을 수축합니다. | 바벨을 들어올린 역순서대로 바닥으로 내려 시작 자세로 돌아갑니다.",,0
3,바벨 백스쿼트,하체,"https://burnfit.io/wp-content/uploads/2023/11/BB_BSQT.png,https://burnfit.io/wp-content/uploads/2023/11/BB_BSQT.gif","다리를 어깨너비만큼 벌리고, 바벨을 등 뒤 어깨 위에 올려줍니다. | 상체가 앞으로 숙여지지 않도록 코어에 힘을 준 상태로 엉덩이를 뒤로 빼며 앉습니다. | 상체의 자세를 유지하면서, 발바닥으로 지면을 밀고 일어납니다.",,0
4,스미스머신 스플릿 스쿼트,하체,"https://burnfit.io/wp-content/uploads/2023/11/SM_SPLIT_SQT.png,https://burnfit.io/wp-content/uploads/2023/11/SM_SPLIT_SQT.gif",바벨을 어깨너비로 잡아 등 위에 올리고 양발을 골반 너비만큼 벌리고 섭니다. | 한쪽 다리를 뻗어 앞으로 나가면서 두 무릎이 90도 각도를 이룰 때까지 엉덩이를 낮춰줍니다. 이때 상체와 등은 곧게 편 자세를 유지합니다. | 앞발의 뒤꿈치에 무게 중심을 실어서 몸을 위쪽으로 밀어주며 원래 시작 자세로 돌아옵니다.,,0
5,스미스머신 데드리프트,하체,"https://burnfit.io/wp-content/uploads/2023/11/SM_DL.png,https://burnfit.io/wp-content/uploads/2023/11/SM_DL.gif","양발을 골반보다 약간 넓게 벌리고, 바벨의 그립을 어깨보다 조금 넓게하여 무릎과 팔이 겹치지 않도록 합니다. | 등이 굽지 않도록 상체를 곧게 유지하면서, 발바닥으로 지면을 밀어올린다는 느낌으로 바벨을 들어 올립니다. (이때, 복압을 단단하게 유지한채로 바벨을 몸에 붙여줍니다.) | 몸을 완전히 쭉 피고 엉덩이 근육을 수축합니다. | 바벨을 들어올린 역순서대로 바닥으로 내려 시작 자세로 돌아갑니다.",,0
6,스미스머신 스쿼트,하체,"https://burnfit.io/wp-content/uploads/2023/11/SM_SQT.png,https://burnfit.io/wp-content/uploads/2023/11/SM_SQT.gif","다리를 어깨 너비 만큼 벌리고, 바벨을 등 뒤 어깨 위에 올려줍니다. | 상체가 앞으로 숙여지지 않도록 코어에 힘을 준 상태로 엉덩이를 뒤로 빼며 앉습니다. | 상체의 자세를 유지하면서, 발바닥으로 지면을 밀고 일어납니다.",,0
7,덤벨 런지,하체,"https://burnfit.io/wp-content/uploads/2023/11/DB_LUNGE.png,https://burnfit.io/wp-content/uploads/2023/11/DB_LUNGE.gif",양발을 골반 너비만큼 벌리고 덤벨을 양손에 든 상태로 상체를 곧게 펴고 섭니다. | 한쪽 다리를 뻗어 앞으로 나가면서 두 무릎이 90도 각도를 이룰 때까지 엉덩이를 낮춰줍니다. 이때 상체와 등은 곧게 편 자세를 유지합니다. | 앞발의 뒤꿈치에 무게 중심을 실어서 몸을 위쪽으로 밀어주며 원래 시작 자세로 돌아옵니다.,,0
8,덤벨 고블릿 스쿼트,하체,"https://burnfit.io/wp-content/uploads/2023/11/GOBLET_SQT.png,https://burnfit.io/wp-content/uploads/2023/11/GOBLET_SQT.gif","다리를 어깨너비 보다 넓게 벌리고, 두 손으로 덤벨을 잡고 턱 아래 위치시킵니다. | 양손으로 잡은 중량을 고정시킨 상태에서, 엉덩이를 뒤로 빼면서 스쿼트 자세로 내려갑니다. | 발바닥으로 지면을 밀고 일어나면서 시작 자세로 돌아옵니다.",,0
9,덤벨 스티프 레그 데드리프트,하체,"https://burnfit.io/wp-content/uploads/2023/11/DB_STIFF_DL.png,https://burnfit.io/wp-content/uploads/2023/11/DB_STIFF_DL.gif","양발을 골반 너비만큼 벌린 상태에서, 양손으로 덤벨을 잡고 곧게 섭니다. | 허리가 구부러지지 않도록 복압을 유지하면서, 엉덩이를 뒤로 빼면서 몸을 숙입니다. (이때, 엉덩이와 허벅지 뒤쪽의 긴장감을 유지하며 천천히 움직입니다.) | 허리가 각도를 유지할 수 있는 한도내에서 최대한 몸을 굽힙니다. | 이완된 엉덩이를 수축시킨다는 생각으로 몸을 세워 시작 자세로 돌아갑니다.",,0
10,프론트 스쿼트,하체,"https://burnfit.io/wp-content/uploads/2023/11/BB_FSQ.png,https://burnfit.io/wp-content/uploads/2023/11/BB_FSQ.gif","바벨을 어깨 너비로 잡고 쇄골 위에 올려둡니다. | 시선은 정면을 유지하면서, 엉덩이를 뒤로 빼며 앉습니다. (이때, 팔꿈치를 지속적으로 위로 들어올려 바벨이 흘러내리지 않도록 합니다.) | 가슴을 펴고 허리를 곧게 세워 상체를 편 상태로, 발바닥으로 지면을 지그시 누르며 일어납니다.",,0
11,저처 스쿼트,하체,"https://burnfit.io/wp-content/uploads/2023/11/ZER_SQT.png,https://burnfit.io/wp-content/uploads/2023/11/ZER_SQT.gif","다리를 어깨너비만큼 벌리고, 양팔을 펴서 바를 팔이 접히는 부분에 위치시킵니다. | 가슴은 활짝 편 상태를 유지하면서, 엉덩이를 뒤로 빼면서 앉습니다. | 어깨가 앞으로 구부려지지 않도록 유의하면서, 발바닥으로 지면을 지그시 누르며 일어납니다.",,0
