"PT_IDX","PT_NAME","PT_CATEGORY","PT_IMAGE","PT_CONTENT","PT_WRITER","PT_HIDDEN"
2,"컨벤셔널 데드리프트","하체","","","",0
3,"바벨 백스쿼트","하체","","","",0
4,"스미스머신 스플릿 스쿼트","하체","","","",0
5,"스미스머신 데드리프트","하체","","","",0
6,"스미스머신 스쿼트","하체","","","",0
7,"덤벨 런지","하체","","","",0
8,"덤벨 고블릿 스쿼트","하체","","","",0
9,"덤벨 스티프 레그 데드리프트","하체","","","",0
10,"프론트 스쿼트","하체","","","",0
11,"저처 스쿼트","하체","","","",0
12,"바벨 불가리안 스플릿 스쿼트","하체","","","",0
13,"덤벨 불가리안 스플릿 스쿼트","하체","","","",0
14,"덤벨 스플릿 스쿼트","하체","","","",0
15,"맨몸 스플릿 스쿼트","하체","","","",0
16,"에어 스쿼트","하체","","","",0
17,"점프 스쿼트","하체","","","",0
18,"케틀벨 고블릿 스쿼트","하체","","","",0
19,"루마니안 데드리프트","하체","","","",0
20,"스모 데드리프트","하체","","","",0
21,"레그 프레스","하체","","","",0
22,"레그 컬","하체","","","",0
23,"레그 익스텐션","하체","","","",0
24,"스탠딩 카프 레이즈","하체","","","",0
25,"이너 싸이 머신","하체","","","",0
26,"런지","하체","","","",0
27,"스텝업","하체","","","",0
28,"중량 스텝업","하체","","","",0
29,"힙 쓰러스트","하체","","","",0
30,"바벨 힙 쓰러스트","하체","","","",0
31,"브이 스쿼트","하체","","","",0
32,"리버스 브이 스쿼트","하체","","","",0
33,"글루트 킥백 머신","하체","","","",0
34,"힙 어브덕션 머신","하체","","","",0
35,"시티드 카프 레이즈","하체","","","",0
36,"정지 백 스쿼트","하체","","","",0
37,"트랩바 데드리프트","하체","","","",0
38,"케이블 힙 어브덕션","하체","","","",0
39,"핵 스쿼트 머신","하체","","","",0
40,"정지 데드리프트","하체","","","",0
41,"정지 스모 데드리프트","하체","","","",0
42,"바벨 박스 스쿼트","하체","","","",0
43,"바벨 프론트 랙 런지","하체","","","",0
44,"바벨 점프 스쿼트","하체","","","",0
45,"바벨 런지","하체","","","",0
46,"바벨 레터럴 런지","하체","","","",0
47,"바벨 스플릿 스쿼트","하체","","","",0
48,"바벨 스탠딩 카프 레이즈","하체","","","",0
49,"스티프 레그 데드리프트","하체","","","",0
50,"맨몸 오버헤드 스쿼트","하체","","","",0
51,"덤벨 스모 스쿼트","하체","","","",0
52,"덤벨 레그 컬","하체","","","",0
53,"덤벨 스쿼트","하체","","","",0
54,"바벨 핵 스쿼트","하체","","","",0
55,"시티드 레그 컬","하체","","","",0
56,"힙 쓰러스트 머신","하체","","","",0
57,"맨몸 카프 레이즈","하체","","","",0
58,"글루트 브릿지","하체","","","",0
59,"덤벨 루마니안 데드리프트","하체","","","",0
60,"라잉 힙 어브덕션","하체","","","",0
61,"싱글 레그 글루트 브릿지","하체","","","",0
62,"피스톨 박스 스쿼트","하체","","","",0
63,"사이드 라잉 클램","하체","","","",0
64,"맨몸 원레그 데드리프트","하체","","","",0
65,"바벨 원레그 데드리프트","하체","","","",0
66,"덤벨 원레그 데드리프트","하체","","","",0
67,"케틀벨 데드리프트","하체","","","",0
68,"케틀벨 스모 데드리프트","하체","","","",0
69,"덤벨 스모 데드리프트","하체","","","",0
70,"덤벨 레터럴 런지","하체","","","",0
